name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Vanuatu,3059838000,0.00%,10717,81%,81%,0%,0%,19%,137706,7.18%,278330,0.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1100,0,0,,2016,Barrels,0,-1100
Dominica,3949649000,0.00%,55272,85%,85%,0%,0%,15%,185767,1.51%,71307,2.61,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1301,0,0,,2016,Barrels,0,-1301
Chad,4879681000,0.00%,325,90%,90%,0%,0%,10%,1670941,2.14%,14561660,0.11,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,353,353,0,0,,2015,Million Cubic Ft,,0,1500000000,114000,2299,0,97079,,2016,Barrels,97079,111701
Grenada,4338852000,0.00%,39133,96%,96%,0%,0%,4%,554848,1.51%,110261,5.03,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2000,0,0,,2016,Barrels,0,-2000
Burundi,5374860000,0.00%,496,57%,57%,0%,0%,43%,1093618,2.81%,10487995,0.1,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1499,0,0,,2016,Barrels,0,-1499
Guinea-Bissau,4395213000,0.00%,2404,95%,95%,0%,0%,5%,318706,2.59%,1782438,0.18,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2700,0,0,,2016,Barrels,0,-2700
Solomon Islands,4770491000,0.00%,7500,91%,91%,0%,0%,9%,341748,7.18%,619438,0.55,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1600,0,0,,2016,Barrels,0,-1600
Central African Republic,7065635000,0.00%,1537,76%,76%,0%,0%,24%,543229,2.57%,4537686,0.12,0.00%,3306930,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2800,0,0,,2016,Barrels,0,-2800
Saint Lucia,6991213000,0.00%,38635,93%,93%,0%,0%,7%,608182,1.51%,180024,3.38,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3099,0,0,,2016,Barrels,0,-3099
Gambia,7564000000,0.00%,3417,100%,100%,0%,0%,0%,254127,2.59%,2149136,0.12,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3800,0,0,,2016,Barrels,0,-3800
Eritrea,10870852000,0.00%,3185,96%,96%,0%,0%,4%,684140,4.79%,3376557,0.2,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3000,0,0,,2016,Barrels,0,-3000
Samoa,5672659000,0.00%,29038,91%,91%,0%,0%,9%,169939,7.18%,194535,0.87,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2400,0,0,,2016,Barrels,0,-2400
Bermuda,11252000000,0.00%,178464,99%,99%,0%,0%,1%,639352,1.51%,63362,10.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5000,0,0,,2016,Barrels,0,-5000
Cayman Islands,9514000000,0.00%,150106,100%,100%,0%,0%,0%,406057,1.52%,62569,6.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,4401,0,0,,2016,Barrels,0,-4401
Timor-Leste,8615000000,0.00%,6929,100%,100%,0%,0%,0%,495687,4.63%,1219288,0.41,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,347853,347853,271926,271926,,2015,Million Cubic Ft,,0,0,49238,3501,0,2101,,2016,Barrels,2101,45737
Djibouti,12152607000,0.00%,12872,99%,99%,0%,0%,1%,1508851,2.97%,929112,1.62,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,6360,0,0,,2016,Barrels,0,-6360
Somalia,12100621000,0.00%,829,95%,95%,0%,0%,5%,1268442,2.57%,14185636,0.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,200000,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5600,0,0,,2016,Barrels,0,-5600
Faeroe Islands,11506210000,0.00%,238071,82%,82%,0%,0%,18%,1953,0.60%,48173,0.04,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,4600,0,0,,2016,Barrels,0,-4600
