name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Benin,97181607000,0.02%,8696,96%,93%,0%,3%,4%,6563709,4.13%,10872063,0.6,0.02%,0,0,87776,87776,0,87776,2016,Tons ,,-87776,40000,0,0,0,0,,2015,Million Cubic Ft,,0,8000000,0,36000,0,0,,2016,Barrels,0,-36000
North Macedonia,1.00006E+11,0.02%,48034,81%,38%,7%,35%,19%,8896732,1.62%,2080743,4.28,0.02%,365966920,5679101,5987018,227611,2044,225567,2016,Tons ,,-307917,0,0,2119,2119,0,2119,2015,Million Cubic Ft,,-2119,0,240,21000,0,0,,2016,Barrels,0,-20760
Congo,95621923000,0.02%,18710,88%,34%,54%,0%,12%,5212302,1.63%,4980996,1.05,0.01%,0,0,0,0,0,,2016,Tons ,,0,3200000,324898,52973,0,0,,2015,Million Cubic Ft,0,271926,1600000000,204735,17000,3,194693,,2016,Barrels,194690,187735
Nicaragua,98675888000,0.02%,15455,75%,75%,0%,0%,25%,5325447,1.86%,6303974,0.84,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,-81,37000,12410,0,12410,2016,Barrels,,-37081
Botswana,96035971000,0.02%,43552,97%,47%,0%,50%,3%,6438429,-3.74%,2159927,2.98,0.02%,106434000,2065729,1356944,5637,13288,,2016,Tons ,7650,708785,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,21000,1,1,,2016,Barrels,0,-21000
Papua New Guinea,93500964000,0.02%,11081,92%,88%,4%,0%,8%,9086988,7.09%,8271762,1.1,0.03%,0,0,0,0,0,,2016,Tons ,,0,5467000,346087,3532,0,342556,,2015,Million Cubic Ft,342556,342556,180249000,56075,37001,0,0,,2016,Barrels,0,19074
Cyprus,1.17196E+11,0.02%,99346,97%,96%,0%,0%,3%,6872427,3.73%,1170187,5.87,0.02%,0,0,224,224,0,224,2016,Tons ,,-224,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,10,52000,4,0,4,2016,Barrels,,-51990
Moldova,1.28018E+11,0.02%,31534,95%,29%,63%,4%,5%,8258774,2.99%,4066009,2.03,0.02%,0,0,137789,130711,0,130711,2016,Tons ,,-137789,0,353,96410,96057,0,96057,2015,Million Cubic Ft,,-96057,0,-18,18001,1,0,1,2016,Barrels,,-18019
Albania,1.11843E+11,0.02%,38778,56%,52%,2%,2%,44%,5208319,4.45%,2886438,1.8,0.01%,575405820,0,95901,89287,0,89287,2016,Tons ,,-95901,29000,1236,1236,0,0,,2015,Million Cubic Ft,0,0,168332000,22818,27000,0,18200,,2016,Barrels,18200,-4182
Jamaica,1.28131E+11,0.02%,43868,95%,87%,6%,2%,5%,8946575,1.82%,2906236,3.08,0.03%,0,0,80469,103617,0,103617,2016,Tons ,,-80469,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,707,54000,21579,0,21579,2016,Barrels,,-53293
Malta,1.28532E+11,0.02%,293498,97%,88%,8%,0%,3%,2257870,3.48%,436097,5.18,0.01%,0,0,56,56,0,56,2016,Tons ,,-56,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,47000,0,0,,2016,Barrels,0,-47000
